Fly far bounce	3	6	10	13	-	6	10	13	-
Follow Tomorrow	2	5	8	11	-	5	8	12	-
Forever Sunshine	3	4	7	8	-	3	6	8	-
Freedom	3	5	7	11	-	4	7	11	-
Freeway Shuffle	3	4	8	10	12	5	7	9	12
Freeze	2	5	8	12	13	5	7	12	13
Frozen Ray ～for EXTREME～	4	5	9	12	-	4	8	11	-
FUJIMORI -祭- FESTIVAL	3	5	9	12	-	5	8	12	-
Funk Boogie	4	5	4	8	-	4	6	8	-
FUNKY SUMMER BEACH	3	6	10	14	-	6	10	14	-
GAIA	3	10	13	16	-	10	13	16	-
Gamelan de Couple	3	4	7	12	-	5	7	13	-
GENOM SCREAMS	3	6	8	11	-	9	11	12	-
GERBERA	4	9	14	16	-	9	14	16	-
Get Back Up!	2	7	9	12	-	7	10	12	-
Get On Da Floor	2	5	8	11	-	4	8	11	-
GHOST KINGDOM	2	6	10	14	-	5	10	14	-
GIRIGILI門前雀羅	4	5	7	12	-	5	8	12	-
Give Me	3	7	12	15	16	7	12	16	16
Glitch Angel	5	8	13	17	18	8	13	17	18
Go For The Top	6	8	12	15	18	8	11	15	18
Go↓Go↑Girls&Boys!	3	5	8	11	-	5	8	11	-
Going Hypersonic	4	7	12	15	-	7	12	15	-
going up	3	7	10	12	11	7	11	13	12
Golden Arrow	4	8	12	16	17	8	12	16	17
GOLD RUSH	2	5	8	12	-	6	7	13	-
Good Looking	3	9	12	15	-	9	12	15	-
GORGEOUS 2012	4	3	8	10	-	5	7	11	-
Gotta Dance	2	3	6	10	-	5	7	11	-
GRADIUSIC CYBER ～AMD G5 MIX～	3	8	10	13	-	9	11	13	-
GRADIUS REMIX（↑↑↓↓←→←→BA Ver.)	2	6	8	12	-	6	8	12	-
GRADUATION ～それぞれの明日～	2	3	7	9	-	3	7	9	-
Grand Chariot	3	7	11	13	-	7	11	13	-
Grip & Break down !!	3	6	9	12	-	5	10	13	-
GUILTY DIAMONDS	3	6	10	14	-	6	10	14	-
Habibe (Antuh muhleke)	3	5	10	13	-	6	11	13	-
Ha･lle･lu･jah	1	5	9	12	-	4	9	12	-
HANDS UP IN THE AIR	1	5	9	13	-	5	9	13	-
HAPPY☆ANGEL	4	4	8	12	16	3	8	11	16
HAPPY☆LUCKY☆YEAPPY	6	10	13	16	-	9	13	16	-
Happy Wedding	3	4	6	10	-	5	6	9	-
HARD BRAIN	3	6	10	15	-	7	10	15	-
Haunted Rhapsody	2	5	7	13	-	4	7	13	-
HAVE YOU NEVER BEEN MELLOW (20th Anniversary Mix)	2	4	7	11	-	4	7	10	-
Healing-D-Vision	6	9	12	14	18	9	13	15	18
Healing Vision	4	5	7	11	-	4	8	13	-
Healing Vision ～Angelic mix～	5	7	11	13	-	8	10	14	-
HEART BEAT FORMULA	4	7	10	13	-	7	10	13	-
HEART BEAT FORMULA (Vinyl Mix)	4	8	11	13	-	8	11	14	-
HEARTBREAK (Sound Selektaz remix)	1	4	6	10	-	4	6	11	-
Heatstroke	2	6	8	10	8	6	8	10	8
Heaven is a '57 metallic gray ～gimmix～	4	5	7	12	-	5	7	13	-
Helios	4	8	12	16	-	8	12	16	-
Hella Deep	3	7	10	14	-	7	10	14	-
Help me, ERINNNNNN!!	4	5	9	12	-	6	9	12	-
heron	3	6	9	12	13	6	9	12	13
HIGHER	3	4	7	9	-	4	7	10	-
High & Low	4	8	12	16	-	8	12	16	-
High School Love	3	6	10	13	-	6	10	13	-
Holic	4	7	9	11	-	7	8	11	-
Hopeful	2	5	10	13	-	5	10	13	-
Hoping To Be Good	2	5	7	12	-	5	7	11	-
Horatio	3	4	9	15	15	5	8	14	14
Hunny Bunny	2	6	10	15	-	6	10	15	-
